account_id,account_name,segment,country,owner_ae
acc_001,Acme GmbH,SMB,DE,piotr
acc_002,Globex SE,MidMarket,DE,piotr
acc_003,Initech Ltd,Enterprise,UK,alex
acc_004,Bertelsmann Digital,Enterprise,DE,alex
acc_005,TechStart AG,SMB,DE,piotr
acc_006,Nordic Solutions AB,MidMarket,SE,alex
acc_007,Paris Consulting SARL,MidMarket,FR,piotr
acc_008,London Data Ltd,Enterprise,UK,alex
acc_009,Munich Labs GmbH,SMB,DE,piotr
acc_010,Amsterdam Analytics BV,MidMarket,NL,alex
acc_011,Berlin Ventures GmbH,SMB,DE,piotr
acc_012,Madrid Cloud SA,MidMarket,ES,alex
acc_013,Dublin Software Ltd,Enterprise,IE,piotr
acc_014,Hamburg Commerce AG,MidMarket,DE,alex
acc_015,Rome Systems Srl,SMB,IT,piotr
acc_016,Warsaw Tech Sp z o.o.,MidMarket,PL,alex
acc_017,Vienna Enterprise GmbH,Enterprise,AT,piotr
acc_018,Zurich Finance AG,Enterprise,CH,alex
acc_019,Barcelona Growth SL,MidMarket,ES,piotr
acc_020,Copenhagen Data AS,MidMarket,DK,alex
acc_021,Helsinki Software Oy,SMB,FI,piotr
acc_022,Lisbon Digital Lda,SMB,PT,alex
acc_023,Brussels EU Services,Enterprise,BE,piotr
acc_024,Tallinn Tech OÜ,SMB,EE,anna
acc_025,Kraków Analytics Sp. z o.o.,MidMarket,PL,marco
acc_026,Lyon Digital SAS,SMB,FR,anna
acc_027,Stockholm Cloud AB,Enterprise,SE,alex
acc_028,Geneva Finance SA,Enterprise,CH,marco
acc_029,Prague Systems s.r.o.,SMB,CZ,piotr
acc_030,Rotterdam Commerce BV,MidMarket,NL,anna
acc_031,Edinburgh Software Ltd,MidMarket,UK,marco
acc_032,Budapest Data Kft,SMB,HU,piotr
acc_033,Cologne Digital GmbH,MidMarket,DE,anna
acc_034,Seville Growth SL,SMB,ES,marco
acc_035,Turin Systems Srl,MidMarket,IT,piotr
acc_036,Antwerp Trade NV,Enterprise,BE,anna
acc_037,Gothenburg Tech AB,MidMarket,SE,marco
acc_038,Frankfurt Capital AG,Enterprise,DE,alex
acc_039,Dublin FinTech Ltd,MidMarket,IE,piotr
acc_040,Thessaloniki Data SA,SMB,GR,anna
acc_041,Vilnius Software UAB,SMB,LT,marco
acc_042,Riga Analytics SIA,SMB,LV,piotr
acc_043,Cluj Innovation SRL,MidMarket,RO,anna
acc_044,Sofia Tech EOOD,SMB,BG,marco
acc_045,Zagreb Digital d.o.o.,SMB,HR,piotr
acc_046,Bratislava Cloud s.r.o.,MidMarket,SK,anna
acc_047,Ljubljana Systems d.o.o.,SMB,SI,marco
acc_048,Oporto Ventures Lda,MidMarket,PT,piotr
acc_049,Helsinki Growth Oy,MidMarket,FI,anna
acc_050,Milan Enterprise SpA,Enterprise,IT,alex
